,lat,lon,elvt,Day sin,Day cos,Year sin,Year cos,smax,smin,tmax,tmin,dmax,dmin,hmax,hmin,Gx,Gy,prcp,stp,gbrd,temp,dewp,hmdy,Wx,Wy,target
44,-22.5525,-55.71638888,675.0,-0.8660254037897985,0.4999999999907164,-0.8415547883814813,0.5401717672668576,933.0,932.1,22.1,21.3,20.6,19.7,92.0,89.0,-3.5792824590670413,8.03920002725489,0.0,932.3,324.0,21.4,19.8,91.0,-1.0168416076895002,2.2838636441065026,4120.090642299692
45,-15.06277777,-59.87277777,222.0,0.7071067811788617,0.7071067811942333,-0.5738802489499948,-0.8189392284321786,988.7,988.4,20.0,18.9,17.5,16.8,89.0,83.0,-0.633927392611049,1.359461680554975,0.0,988.6,1549.6164658769599,19.0,16.9,88.0,-0.21130913087034967,0.453153893518325,5032.469683472541
46,-18.969142,-50.633449,492.45,0.9659258262921029,-0.2588190450911957,-0.36221297944826,-0.9320953585976138,955.4928255480119,954.8985947847194,24.913867082371514,23.495292288117625,17.749739031977505,16.62192789592909,72.16093081146795,65.99055420427858,-4.2503424510589385,0.7354199559268639,0.15857694008505133,955.2344215023717,1549.6164658769599,24.19279016924677,17.17139968745509,69.09971393312566,-1.6738642584211414,0.2896221171188069,5164.158142562837
47,-13.45,-56.66666666,350.0,0.7071067811882897,-0.7071067811848053,0.13627223803138952,-0.9906714274379353,975.8,975.2,14.5,13.7,13.8,12.7,96.0,92.0,-4.2503424510589385,0.7354199559268639,0.0,975.8,1549.6164658769599,14.0,13.2,95.0,-1.6738642584211414,0.2896221171188069,5115.446235391123
48,-15.52749999,-55.13555555,749.0,-0.7071067811852786,0.7071067811878164,0.5688506430668125,0.8224408464336349,926.1,925.6,32.9,31.8,16.8,14.4,41.0,34.0,4.88585361400204,2.9357170269873087,0.0,925.6,1170.0,31.8,16.7,40.0,3.0858022825276046,1.854137069676195,4899.189745942697
49,-13.70805555,-59.7625,576.87,-0.4999999999924122,-0.8660254037888194,-0.6809342563299348,0.7323445490726334,949.1,948.8,27.3,25.8,20.9,20.1,72.0,65.0,0.054102459955577706,-3.099527854984813,0.0,948.8,297.0,27.3,20.4,66.0,0.02443336901219638,-1.3997867732189477,3986.1640505397254
50,-17.8411111,-53.28944444,862.42,0.8660254037796111,0.5000000000083614,0.875895646892207,0.4825005862745477,917.3,916.8,20.5,20.1,17.8,17.3,86.0,83.0,-5.258610463437158,3.820604139901076,0.15857694008505133,916.8,0.0,20.2,17.8,86.0,-2.9933628791873055,2.174805433482151,3911.515879267799
51,-18.98888888,-56.62305554,91.0,-0.7071067811907422,0.7071067811823528,0.1148113335003894,-0.9933873150487993,955.4928255480119,954.8985947847194,24.913867082371514,23.495292288117625,17.749739031977505,16.62192789592909,72.16093081146795,65.99055420427858,-4.2503424510589385,0.7354199559268639,0.15857694008505133,955.2344215023717,1549.6164658769599,24.19279016924677,17.17139968745509,69.09971393312566,-1.6738642584211414,0.2896221171188069,4756.407414718127
52,-19.69527777,-51.18138888,424.0,-0.9659258262883017,-0.2588190451053815,0.8743452134961802,-0.4853044896107174,955.4928255480119,954.8985947847194,24.913867082371514,23.495292288117625,17.749739031977505,16.62192789592909,72.16093081146795,65.99055420427858,-4.2503424510589385,0.7354199559268639,0.15857694008505133,955.2344215023717,1549.6164658769599,24.19279016924677,17.17139968745509,69.09971393312566,-1.6738642584211414,0.2896221171188069,5094.185564322175
53,-20.44444,-52.87583,323.63,-0.9659258262912666,0.2588190450943168,0.9935642869592501,-0.11326962381484676,975.7,975.2,28.8,27.9,19.3,18.4,58.0,54.0,-1.9012558718005406,-2.8187277466871405,0.0,975.2,1151.0,28.3,19.0,57.0,-0.9506279359002703,-1.4093638733435703,4631.202942454217
54,-20.98166666,-54.97194443,464.0,-0.258819045112695,0.9659258262863422,0.14749695205401364,-0.989062510226111,961.1,960.9,25.3,23.3,14.4,13.3,57.0,47.0,-2.0966764198635603,-1.3615975875375677,0.15857694008505133,961.1,1549.6164658769599,23.3,14.2,57.0,-1.006404681534509,-0.6535668420180325,5090.468727419094
55,-15.59972221,-48.1311111,1143.0,0.25881904510376114,0.9659258262887359,-0.41064344961241256,0.9117960064018804,887.1,886.8,22.1,21.4,19.2,18.7,85.0,82.0,-3.4439695907392696,1.605949394614658,0.0,887.1,1549.6164658769599,21.4,18.8,85.0,-2.0845079101842945,0.9720220020036088,5662.2610238908355
56,-10.16583333,-59.45111111,105.0,0.4999999999962358,0.8660254037866119,0.10646936919391407,0.9943159826853082,949.5,949.1,22.1,22.0,17.749739031977505,16.62192789592909,72.16093081146795,65.99055420427858,-2.01162532642061,1.1150621265665754,0.0,949.5,1549.6164658769599,22.1,17.17139968745509,69.09971393312566,-1.3119295607090935,0.7272144303695057,4759.0793194266635
